"Name","Status","StartType","PSComputerName","RunspaceId","PSShowComputerName"
"WinRM","Running","Automatic","192.168.56.125","fbdcf695-380e-4271-8bd2-571d2b339191","True"
"Spooler","Running","Automatic","192.168.56.125","fbdcf695-380e-4271-8bd2-571d2b339191","True"
"W32Time","Running","Manual","192.168.56.125","fbdcf695-380e-4271-8bd2-571d2b339191","True"
"EventLog","Running","Automatic","192.168.56.125","fbdcf695-380e-4271-8bd2-571d2b339191","True"
